id,playerId,name,position,rating,potential,cardType,value,wage,photoUrl,nationality,clubName,clubLogoUrl,league,age,preferredFoot,stats.pace,stats.shooting,stats.passing,stats.dribbling,stats.defending,stats.physical
eafc-p-231747,231747,Kylian Mbappé,DC,91,91,Icon,46427850,€364.000,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p231747.png?padding=0.7,Francia,Real Madrid,https://drop-assets.ea.com/images/Pk8nYrWuRt895RlhJx8jI/445d98b711f413a3a1e70c41b19b0f95/l243.png,LALIGA EA SPORTS,28,Derecho,97,90,80,92,36,78
eafc-p-231866,231866,Rodri,MCD,91,91,Icon,46427850,€364.000,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p231866.png?padding=0.7,España,Manchester City,https://drop-assets.ea.com/images/4asmNLic4aQn6cjlEg1t5u/88bea3ddd6c1f620bbf813041f248685/l10.png,Premier League,30,Derecho,66,80,86,84,87,85
eafc-p-239085,239085,Erling Haaland,DC,91,91,Icon,46427850,€364.000,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p239085.png?padding=0.7,Noruega,Manchester City,https://drop-assets.ea.com/images/4asmNLic4aQn6cjlEg1t5u/88bea3ddd6c1f620bbf813041f248685/l10.png,Premier League,26,Izquierdo,88,92,70,81,45,88
eafc-p-252371,252371,Jude Bellingham,MCO,90,90,Icon,61249999,€360.000,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p252371.png?padding=0.7,Inglaterra,Real Madrid,https://drop-assets.ea.com/images/Pk8nYrWuRt895RlhJx8jI/445d98b711f413a3a1e70c41b19b0f95/l243.png,LALIGA EA SPORTS,23,Derecho,80,87,83,88,78,83
eafc-p-238794,238794,Vini Jr.,EI,90,90,Icon,43750000,€360.000,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p238794.png?padding=0.7,Brasil,Real Madrid,https://drop-assets.ea.com/images/Pk8nYrWuRt895RlhJx8jI/445d98b711f413a3a1e70c41b19b0f95/l243.png,LALIGA EA SPORTS,26,Derecho,95,84,81,91,29,69
eafc-p-192985,192985,Kevin De Bruyne,MC,90,90,Icon,17500000,€360.000,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p192985.png?padding=0.7,Bélgica,Manchester City,https://drop-assets.ea.com/images/4asmNLic4aQn6cjlEg1t5u/88bea3ddd6c1f620bbf813041f248685/l10.png,Premier League,35,Derecho,67,87,94,87,65,78
eafc-p-202126,202126,Harry Kane,DC,90,90,Icon,17500000,€360.000,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p202126.png?padding=0.7,Inglaterra,FC Bayern München,https://drop-assets.ea.com/images/3p0dv1pGWIH6lGAKZssZKH/4f70d2c5a3c147f3e006c863e85e4993/l21.png,Bundesliga,33,Derecho,65,93,84,83,49,82
eafc-p-222665,222665,Martin Ødegaard,MC,89,89,Special,41177150,€356.000,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p222665.png?padding=0.7,Noruega,Arsenal,https://drop-assets.ea.com/images/2ng99bvkwKaA228PJje39i/09d2df89a78377d3f8d3f78469cbadc9/l1.png,Premier League,28,Izquierdo,70,82,89,89,67,66
eafc-p-230621,230621,Gianluigi Donnarumma,POR,89,89,Special,41177150,€356.000,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p230621.png?padding=0.7,Italia,PSG,https://drop-assets.ea.com/images/2QwnhmHh5K7bjkfZAF7ZCi/7c53874542fb5c606ff810a4b1f6b88b/l73.png,Ligue 1 McDonald's,27,Derecho,90,84,73,87,90,89
eafc-p-212831,212831,Alisson,POR,89,89,Special,16470860,€356.000,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p212831.png?padding=0.7,Brasil,Liverpool,https://drop-assets.ea.com/images/3mmzooNXBDCKuCy6kWcGQo/2e332a30fe2a7225a88fcb1898f48bbf/l9.png,Premier League,34,Derecho,86,85,85,90,89,89
eafc-p-192119,192119,Thibaut Courtois,POR,89,89,Special,16470860,€356.000,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p192119.png?padding=0.7,Bélgica,Real Madrid,https://drop-assets.ea.com/images/Pk8nYrWuRt895RlhJx8jI/445d98b711f413a3a1e70c41b19b0f95/l243.png,LALIGA EA SPORTS,34,Izquierdo,85,89,76,88,90,89
eafc-p-231478,231478,Lautaro Martínez,DC,89,89,Special,41177150,€356.000,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p231478.png?padding=0.7,Argentina,Lombardia FC,https://drop-assets.ea.com/images/1thPMvXN97JgFvt6ASWr4c/d2ca0a691a98c344305bc0975ab70314/l131682.png,Serie A Enilive,29,Derecho,82,88,75,87,54,85
eafc-p-203376,203376,Virgil van Dijk,DFC,89,89,Special,16470860,€356.000,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p203376.png?padding=0.7,Holanda,Liverpool,https://drop-assets.ea.com/images/3mmzooNXBDCKuCy6kWcGQo/2e332a30fe2a7225a88fcb1898f48bbf/l9.png,Premier League,35,Derecho,78,60,71,71,89,86
eafc-p-192448,192448,Marc-André ter Stegen,POR,89,89,Special,16470860,€356.000,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p192448.png?padding=0.7,Alemania,FC Barcelona,https://drop-assets.ea.com/images/5VXhqALaBzgvb2YG8iJxlq/990024f3e3ecc9e6c37eae41ebef86bd/l241.png,LALIGA EA SPORTS,34,Derecho,86,85,89,86,91,89
eafc-p-209331,209331,Mohamed Salah,ED,89,89,Special,16470860,€356.000,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p209331.png?padding=0.7,Egipto,Liverpool,https://drop-assets.ea.com/images/3mmzooNXBDCKuCy6kWcGQo/2e332a30fe2a7225a88fcb1898f48bbf/l9.png,Premier League,34,Izquierdo,89,87,82,88,45,75
eafc-p-237692,237692,Phil Foden,ED,88,88,Special,38707200,€352.000,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p237692.png?padding=0.7,Inglaterra,Manchester City,https://drop-assets.ea.com/images/4asmNLic4aQn6cjlEg1t5u/88bea3ddd6c1f620bbf813041f248685/l10.png,Premier League,26,Izquierdo,86,86,85,90,57,63
eafc-p-158023,158023,Lionel Messi,ED,88,88,Special,15482880,€352.000,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p158023.png?padding=0.7,Argentina,Inter Miami CF,https://drop-assets.ea.com/images/3luAerlx8cliy5XNziWvOA/b7785fb1a6915d5044b4f954d83e4915/l112893.png,MLS,39,Izquierdo,79,85,87,92,33,64
eafc-p-194765,194765,Antoine Griezmann,DC,88,88,Special,15482880,€352.000,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p194765.png?padding=0.7,Francia,Atlético de Madrid,https://drop-assets.ea.com/images/vYcueolPvaGx8blMqhPZ5/5dc3479fc8b85d475fd980c53fc2056f/l240.png,LALIGA EA SPORTS,35,Izquierdo,80,88,87,89,59,75
